N,bandwidth,r,r_frac_rayleigh,rayleigh_distance,gain_loss_conventional_db,gain_loss_nearfield_db,gain_loss_squint_db
8,10000000.0,0.026231840075,0.1,0.26231840074999996,7.166547380781591,2.2023435871032187e-07,7.16654705326455
8,10000000.0,0.26231840074999996,1.0,0.26231840074999996,0.07438443668478614,2.9567434478763294e-07,0.07438414211864261
8,10000000.0,2.6231840074999995,10.0,0.26231840074999996,0.0007422185068771521,2.972723828327232e-07,0.0007419212459488122
8,400000000.0,0.026231840075,0.1,0.26231840074999996,7.166668573339486,0.0003523593645851916,7.166144573555408
8,400000000.0,0.26231840074999996,1.0,0.26231840074999996,0.07485672647832514,0.0004730677336414424,0.0743854320717481
8,400000000.0,2.6231840074999995,10.0,0.26231840074999996,0.0012175408091375183,0.0004756247019948813,0.0007419344399991117
8,2000000000.0,0.026231840075,0.1,0.26231840074999996,7.169581227109578,0.008799611250073214,7.156497698884664
8,2000000000.0,0.26231840074999996,1.0,0.26231840074999996,0.0861919074346717,0.011819953697329529,0.07441641025569726
8,2000000000.0,2.6231840074999995,10.0,0.26231840074999996,0.012625732521411477,0.011883940810512668,0.0007422512952525698
128,10000000.0,8.634558134075,0.1,86.34558134075,5.128807111551026,7.720516982863917e-05,5.128772364428476
128,10000000.0,86.34558134075,1.0,86.34558134075,0.048001279167136104,7.730786985953264e-05,0.0479242158576896
128,10000000.0,863.4558134075,10.0,86.34558134075,0.0005561734469340404,7.730889912288237e-05,0.0004788669815588947
128,400000000.0,8.634558134075,0.1,86.34558134075,5.182536622346483,0.12274932311981282,5.12863100976875
128,400000000.0,86.34558134075,1.0,86.34558134075,0.17044023430495517,0.12291556052807047,0.04792506553025619
128,400000000.0,863.4558134075,10.0,86.34558134075,0.12339211745408951,0.12291722656631474,0.0004788756271118059
128,2000000000.0,8.634558134075,0.1,86.34558134075,5.745370513464777,2.542743103036414,5.125239755042453
128,2000000000.0,86.34558134075,1.0,86.34558134075,2.5813876197385497,2.547798439575325,0.047945470398231646
128,2000000000.0,863.4558134075,10.0,86.34558134075,2.5481850716518144,2.5478491227156237,0.0004790832498222293
512,10000000.0,139.789475759675,0.1,1397.89475759675,5.005940725172819,0.0012368393845296666,5.005362939233116
512,10000000.0,1397.89475759675,1.0,1397.89475759675,0.048051720002151854,0.0012369399336899778,0.04681860667924935
512,10000000.0,13978.9475759675,10.0,1397.89475759675,0.0017047324027260726,0.0012369409393735219,0.0004678295444470491
512,400000000.0,139.789475759675,0.1,1397.89475759675,5.56837011889633,1.762240187163743,5.005232071267168
512,400000000.0,1397.89475759675,1.0,1397.89475759675,1.8010691481753422,1.7624280277120818,0.046819437141610215
512,400000000.0,13978.9475759675,10.0,1397.89475759675,1.7628162669705816,1.7624299063929674,0.00046783799158471763
512,2000000000.0,139.789475759675,0.1,1397.89475759675,8.343537698541853,8.2396643465975,5.002092289009939
512,2000000000.0,1397.89475759675,1.0,1397.89475759675,8.241674052592854,8.240974106502941,0.046839380685773715
512,2000000000.0,13978.9475759675,10.0,1397.89475759675,8.240994173975402,8.24098720347476,0.0004680408400823125
