N,bandwidth,r,r_frac_rayleigh,rayleigh_distance,gain_loss_conventional_db,gain_loss_nearfield_db,gain_loss_squint_db
16,1000000000.0,12.0452326875,10.0,1.20452326875,0.01261669193183589,0.01202572025970772,0.0005914170054044938
16,1000000000.0,24.090465375,20.0,1.20452326875,0.012173558425316887,0.01202581690682947,0.0001478528537950735
16,2000000000.0,0.024090465375,0.02,1.20452326875,12.576097681952836,0.03600899124999059,12.534334337888824
16,2000000000.0,0.06022616343750001,0.05,1.20452326875,9.593117640787625,0.03679562509800705,9.647221399413882
16,2000000000.0,0.12045232687500002,0.1,1.20452326875,6.316344064320361,0.04364455359707556,6.294206602846639
16,2000000000.0,0.24090465375000003,0.2,1.20452326875,1.56469314406975,0.0467775214293317,1.5222130686303268
16,2000000000.0,0.602261634375,0.5,1.20452326875,0.2849179678456024,0.04781053603823138,0.23781856575677915
16,2000000000.0,1.20452326875,1.0,1.20452326875,0.1070202269487968,0.04796435060223509,0.059234876490371687
16,2000000000.0,2.4090465375,2.0,1.20452326875,0.06275308590963215,0.04800305527365558,0.01479485997147506
16,2000000000.0,6.02261634375,5.0,1.20452326875,0.05037328969695436,0.04801391066047496,0.0023665553195058218
16,2000000000.0,12.0452326875,10.0,1.20452326875,0.048605284470616544,0.04801546207643943,0.000591616593452377
16,2000000000.0,24.090465375,20.0,1.20452326875,0.048163304156251315,0.0480158499556384,0.00014790275846746204
16,4000000000.0,0.024090465375,0.02,1.20452326875,12.524864600805776,0.14176269312034587,12.373209637742859
16,4000000000.0,0.06022616343750001,0.05,1.20452326875,9.46092530045428,0.14524686536979223,9.668186026264042
16,4000000000.0,0.12045232687500002,0.1,1.20452326875,6.36060690960219,0.17294405365938986,6.274340542965037
16,4000000000.0,0.24090465375000003,0.2,1.20452326875,1.6909820157023403,0.18563171883933663,1.5230107116658558
16,4000000000.0,0.602261634375,0.5,1.20452326875,0.42500319004670967,0.18981766642886128,0.23811113406609563
16,4000000000.0,1.20452326875,1.0,1.20452326875,0.24901766452738536,0.1904410550787958,0.059313083240454055
16,4000000000.0,2.4090465375,2.0,1.20452326875,0.20522819602836043,0.19059792396777625,0.014814720564566878
16,4000000000.0,6.02261634375,5.0,1.20452326875,0.19298214091409874,0.19064192084254475,0.0023697467666043224
16,4000000000.0,12.0452326875,10.0,1.20452326875,0.19123324147870474,0.1906482087415515,0.0005924149456023235
