r_frac_rayleigh,n_bits,recovery_ideal_db,recovery_quantized_db,recovery_efficiency,loss_conv_vs_ideal_db,loss_comb_vs_ideal_db
0.02,1,13.380577096280488,13.28459509979455,0.9928267670523255,17.200120346907752,3.9155252471132016
0.02,2,13.380577096280488,13.374632446636701,0.9995557254667709,14.286704346905154,0.9120719002684532
0.02,3,13.380577096280488,13.378614075556767,0.9998532932690724,13.603192589115276,0.22457851355850955
0.02,4,13.380577096280488,13.383234394040928,1.000198593658653,13.43881205765027,0.055577663609344005
0.02,6,13.380577096280488,13.381044035839524,1.0000348968176542,13.38449150284335,0.0034474670038262805
0.02,8,13.380577096280488,13.38028327282716,0.9999780410477654,13.380501614214586,0.00021834138742437778
0.05,1,11.228371647177163,11.224288228864335,0.9996363303209816,15.1479184420106,3.923630213146263
0.05,2,11.228371647177163,11.22460650180886,0.9996646757440338,12.13615730903351,0.9115508072246494
0.05,3,11.228371647177163,11.227862159214514,0.9999546249466389,11.451862245009245,0.22400008579473107
0.05,4,11.228371647177163,11.227853793633136,0.9999538799070516,11.284087518979247,0.05623372534611151
0.05,6,11.228371647177163,11.228336785454363,0.9999968952111762,11.231819647204503,0.0034828617501396686
0.05,8,11.228371647177163,11.228434767499177,1.000005621502743,11.228652234021075,0.0002174665218962226
0.1,1,11.183130357375147,11.188402281889537,1.000471417603651,15.102450246314845,3.9140479644253086
0.1,2,11.183130357375147,11.179304551620397,0.9996578949156015,12.091078089036342,0.9117735374159448
0.1,3,11.183130357375147,11.183399463425992,1.0000240635709543,11.407472588740594,0.22407312531460394
0.1,4,11.183130357375147,11.182882441110646,0.9999778312282359,11.238866092358105,0.05598365124745854
0.1,6,11.183130357375147,11.183169367251732,1.0000034882788038,11.186646438599809,0.0034770713480740422
0.1,8,11.183130357375147,11.18312890052505,0.9999998697278804,11.183347520292973,0.00021861976792204662
