n_rf,gain_loss_db,analog_phase_shifters,digital_multiplies_per_update
1,11.170207274930704,512,33
2,9.694501159834562,1024,66
4,5.845222804449827,2048,132
8,2.517190396997275,4096,264
16,0.000565674793071624,8192,528
32,3.857309866213147e-15,16384,1056
64,3.857309866213147e-15,32768,2112
128,1.928654933106574e-15,65536,4224
256,3.857309866213147e-15,131072,8448
512,2.8929823996598604e-15,262144,16896
