r_frac_rayleigh,snr_in_db,beamformer,snr_out_db,ber,evm_pct
0.02,-35,conventional,-21.287877486522184,0.45147605528005214,1159.8287618230413
0.02,-35,combined,-7.907300390241694,0.28466130411841484,248.52210273970337
0.02,-30,conventional,-16.28787748652218,0.41417007455151256,652.2196429174505
0.02,-30,combined,-2.9073003902416934,0.15578603665720425,139.7542485937369
0.02,-25,conventional,-11.287877486522182,0.3499016955473536,366.77005831337544
0.02,-25,combined,2.0926996097583066,0.03597042512048178,78.58958935518346
0.02,-20,conventional,-6.2878774865221825,0.2464576392342871,206.24996063208516
0.02,-20,combined,7.0926996097583075,0.0006871379379158483,44.19417382415922
0.02,-15,conventional,-1.287877486522182,0.11135955552713178,115.9828761823041
0.02,-15,combined,12.092699609758306,6.33361401521697e-09,24.852210273970336
0.02,-12,conventional,1.7121225134778184,0.04250317028724357,82.10958825400962
0.02,-12,combined,15.092699609758306,4.564469034362436e-16,17.59401749608546
0.02,-10,conventional,3.712122513477818,0.01506760135181894,65.22196429174507
0.02,-10,combined,17.092699609758306,2.268508091096011e-24,13.975424859373687
0.02,-5,conventional,8.712122513477818,5.766201817054854e-05,36.677005831337546
0.02,-5,combined,22.092699609758306,1.0676048237504678e-72,7.85895893551835
0.02,0,conventional,13.712122513477818,3.5211449616219883e-12,20.624996063208517
0.02,0,combined,27.09269960975831,5.452080603511774e-225,4.419417382415921
0.05,-35,conventional,-19.13567203741885,0.43793054875959125,905.2814093084752
0.05,-35,combined,-7.907300390241687,0.2846613041184147,248.5221027397032
0.05,-30,conventional,-14.13567203741885,0.39058315316956804,509.0771473807148
0.05,-30,combined,-2.9073003902416867,0.15578603665720409,139.75424859373678
0.05,-25,conventional,-9.13567203741885,0.3106513035289189,286.2751176821938
0.05,-25,combined,2.0926996097583133,0.035970425120481674,78.58958935518342
0.05,-20,conventional,-4.135672037418849,0.18984190808689821,160.984329046428
0.05,-20,combined,7.092699609758314,0.0006871379379158424,44.194173824159186
0.05,-15,conventional,0.8643279625811506,0.05912265876333476,90.52814093084751
0.05,-15,combined,12.092699609758313,6.333614015216829e-09,24.852210273970318
0.05,-12,conventional,3.8643279625811515,0.013669626116109336,64.08901574012663
0.05,-12,combined,15.092699609758313,4.564469034362205e-16,17.594017496085446
0.05,-10,conventional,5.86432796258115,0.002734776426896847,50.907714738071476
0.05,-10,combined,17.092699609758313,2.2685080910958324e-24,13.975424859373677
0.05,-5,conventional,10.86432796258115,3.9051153388499715e-07,28.62751176821938
0.05,-5,combined,22.092699609758313,1.0676048237501031e-72,7.858958935518341
0.05,0,conventional,15.86432796258115,7.832829491078282e-19,16.0984329046428
0.05,0,combined,27.092699609758313,5.452080603509293e-225,4.4194173824159195
0.1,-35,conventional,-19.09043074761684,0.4376090593646925,900.5784228150609
0.1,-35,combined,-7.907300390241691,0.28466130411841484,248.5221027397033
0.1,-30,conventional,-14.090430747616837,0.39002641859852977,506.4324637236557
0.1,-30,combined,-2.9073003902416907,0.15578603665720425,139.75424859373683
0.1,-25,conventional,-9.090430747616837,0.3097409215839516,284.78790276977395
0.1,-25,combined,2.092699609758309,0.03597042512048174,78.58958935518345
0.1,-20,conventional,-4.0904307476168364,0.18860014351750515,160.14800664173495
0.1,-20,combined,7.092699609758309,0.0006871379379158471,44.194173824159215
0.1,-15,conventional,0.9095692523831633,0.05816811440230213,90.05784228150605
0.1,-15,combined,12.09269960975831,6.333614015216923e-09,24.85221027397033
0.1,-12,conventional,3.9095692523831636,0.013271859622628444,63.756069793923785
0.1,-12,combined,15.09269960975831,4.56446903436237e-16,17.594017496085456
0.1,-10,conventional,5.9095692523831636,0.0026151088966807428,50.64324637236557
0.1,-10,combined,17.09269960975831,2.268508091095947e-24,13.975424859373684
0.1,-5,conventional,10.909569252383163,3.420068018562122e-07,28.478790276977396
0.1,-5,combined,22.09269960975831,1.0676048237502855e-72,7.858958935518346
0.1,0,conventional,15.909569252383163,5.202712181948911e-19,16.014800664173496
0.1,0,combined,27.09269960975831,5.452080603511774e-225,4.419417382415921
